編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLLLNHPFFBC58CA,46,78.30,住家用,加強磚造,62年11月1日,二層,一層 二層
RPWNMLPKNHPFFBC78CA,47,39.18,住家用,鋼筋混凝土加強磚造,61年11月15日,四層,四層
RPQNMLPKNHPFFBC18CA,35,64.38,住家用,鋼筋混凝土造,74年9月12日,四層,二層
RPQNMLPKNHPFFBC18CA,35,6.68,共用部份,鋼筋混凝土造,74年9月12日,四層,
RPQNMLPKNHPFFBC18CA,35,1.54,共用部份,鋼筋混凝土造,74年9月12日,四層,
RPPPMLOJOHPFFBC18CA,,120.84,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,三層 四層
RPPPMLOJOHPFFBC18CA,,85.53,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,
RPPOMLMKNHPFFBC87CA,23,108.38,住家用,鋼筋混凝土造,86年7月18日,七層,四層
RPPOMLMKNHPFFBC87CA,23,33.83,共用部份,鋼筋混凝土造,86年7月18日,七層,
RPQPMLOJOHPFFBC28CA,,119.84,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,一層 二層
RPQPMLOJOHPFFBC28CA,,85.92,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,
RPSPMLOJOHPFFBC48CA,,120.84,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,三層 四層
RPSPMLOJOHPFFBC48CA,,92.03,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,
RPRPMLOJOHPFFBC38CA,,120.84,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,一層 二層
RPRPMLOJOHPFFBC38CA,,85.14,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,
RPRNMLTKNHPFFBC68CA,5,18.83,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPVNMLTKNHPFFBC09CA,25,84.57,住家用,鋼筋混凝土造,84年4月1日,九層,九層
RPVNMLTKNHPFFBC09CA,25,13.46,共用部份,鋼筋混凝土造,84年4月1日,九層,
RPRNMLNLNHPFFBC18CA,3,102.81,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,五層
RPRNMLNLNHPFFBC18CA,3,55.64,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPRNMLNLNHPFFBC18CA,3,21.04,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPRNMLNLNHPFFBC18CA,3,.66,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPVNMLMLNHPFFCC78EA,1,52.04,見其他登記事項,鋼筋混凝土造,107年12月3日,七層,
RPVNMLMLNHPFFCC78EA,1,32.20,見其他登記事項,鋼筋混凝土造,107年12月3日,七層,
RPVNMLMLNHPFFCC78EA,1,107.74,見其他登記事項,鋼筋混凝土造,107年12月3日,七層,五層
RPQNMLTKNHPFFBC58CA,5,18.83,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPPNMLOKNHPFFBC97CA,38,79.90,住家用,鋼筋混凝土造,71年8月23日,四層,四層
RPWNMLTKNHPFFBC56CA,21,91.37,住家用,鋼筋混凝土造,88年1月14日,十六層,十一層
RPWNMLTKNHPFFBC56CA,21,13.26,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLTKNHPFFBC56CA,21,3.67,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLTKNHPFFBC56CA,21,69.98,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLTKNHPFFBC56CA,21,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLTKNHPFFBC56CA,21,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQNMLOKNHPFFBC08CA,16,180.90,見其他登記事項,鋼筋混凝土造,93年4月8日,三層,一層 二層 三層
RPUNMLPLNHPFFCC98EA,13,227.37,見其他登記事項,鋼筋混凝土造,96年6月6日,三層,一層 二層 三層 屋頂突出物
RPTNMLNKNHPFFBC28CA,23,88.19,住家用,鋼筋混凝土造,85年11月19日,五層,二層
