鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,房地(土地+建物)+車位,桃園市中壢區南園二路271~300號,18.86,住,,,1090326,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001109,133.95999999999998,3,2,1,有,有,7150000,56725,坡道平面,30.83,1300000,含增建或未登記建物。,RPRSMLSKNHPFFBH07DA
新屋區,土地,青田段841~870地號,90.27,,一般農業區,甲種建築用地,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1365000,15121,,0.0,0,,RPRPMLNKNHPFFDH09DA
新屋區,土地,青田段841~870地號,68.55,,一般農業區,甲種建築用地,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1037000,15128,,0.0,0,,RPTPMLNKNHPFFDH66DA
新屋區,土地,青田段841~870地號,34.27,,一般農業區,甲種建築用地,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,518500,15130,,0.0,0,,RPUPMLNKNHPFFDH76DA
新屋區,土地,青田段841~870地號,137.39,,一般農業區,農牧用地,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,623400,4537,,0.0,0,,RPVPMLNKNHPFFDH86DA
新屋區,土地,青田段511~540地號,72.17,,特定農業區,農牧用地,1090424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,218300,3025,,0.0,0,,RPPNMLPKNHPFFDH88DA
新屋區,土地,新洲段721~750地號,41.98,,一般農業區,農牧用地,1090424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,127000,3025,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPKNHPFFDH98DA
龍潭區,房地(土地+建物),桃園市龍潭區佳安里文化路1142巷1~30號,184.68,,一般農業區,甲種建築用地,1090309,土地4建物2車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040220,259.49,5,2,4,有,有,11000000,42391,,0.0,0,,RPSNMLMLNHPFFCH88DA
中壢區,房地(土地+建物),桃園市中壢區成功路133巷31~60號,48.0,住,,,1080719,土地2建物1車位0,全,三層,透天厝,住家用,加強磚造,0600110,117.67,4,2,2,有,無,4500000,38243,,0.0,0,二等親買賣,RPUNMLTKNHPFFBH96DA
中壢區,房地(土地+建物),桃園市中壢區慈惠三街1~30號,28.0,住,,,1090229,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690416,105.27,4,0,4,有,無,5860000,55666,,0.0,0,含增建或未登記建物。;,RPQQMLTKNHPFFBH86DA
