編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTQMLTKNHPFFAO67CA,,143.60,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,四層
RPTQMLTKNHPFFAO67CA,,72.91,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPTQMLTKNHPFFAO67CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPXPMLTKNHPFFAO97CA,,144.28,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,五層
RPXPMLTKNHPFFAO97CA,,72.53,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPXPMLTKNHPFFAO97CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPUQMLTKNHPFFAO77CA,,143.60,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,五層
RPUQMLTKNHPFFAO77CA,,58.02,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPUQMLTKNHPFFAO77CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPOQMLTKNHPFFAO17CA,25,80.50,住家用,鋼筋混凝土造,84年9月29日,七層,六層
RPOQMLTKNHPFFAO17CA,25,17.30,見其他登記事項,鋼筋混凝土造,84年9月29日,七層,
RPOQMLTKNHPFFAO17CA,25,11.36,共有部分,鋼筋混凝土造,84年9月29日,七層,
RPPQMLTKNHPFFAO27CA,,144.28,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,七層
RPPQMLTKNHPFFAO27CA,,72.53,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPPQMLTKNHPFFAO27CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPUPMLTKNHPFFAO67CA,,144.28,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,三層
RPUPMLTKNHPFFAO67CA,,72.53,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPUPMLTKNHPFFAO67CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPRQMLTKNHPFFAO47CA,,143.60,見其他登記事項,鋼筋混凝土造,108年9月25日,十四層,三層
RPRQMLTKNHPFFAO47CA,,58.02,共有部分,鋼筋混凝土造,108年9月25日,十二層,
RPRQMLTKNHPFFAO47CA,,28.93,共有部分,鋼筋混凝土造,108年9月25日,十四層,
RPROMLLLNHPFFAO56CA,22,63.02,住家用,鋼筋混凝土造,86年11月30日,十層,六層
RPROMLLLNHPFFAO56CA,22,11.77,共有部分,鋼筋混凝土造,86年11月30日,十層,
RPROMLLLNHPFFAO56CA,22,23.37,見其他登記事項,鋼筋混凝土造,86年11月30日,十層,
RPWNMLLLNHPFFAO96CA,25,64.61,住家用,鋼筋混凝土造,84年9月25日,十三層,二層
RPWNMLLLNHPFFAO96CA,25,6.56,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPWNMLLLNHPFFAO96CA,25,6.52,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPRPMLKLNHPFFAO56CA,1,66.91,見其他登記事項,鋼筋混凝土造,108年7月12日,五層,五層 見其他登記事項
RPRPMLKLNHPFFAO56CA,1,24.24,共有部分,鋼筋混凝土造,108年7月12日,五層,
RPTPMLKLNHPFFAO76CA,6,46.91,見其他登記事項,鋼筋混凝土造,103年7月8日,九層,三層
RPTPMLKLNHPFFAO76CA,6,12.84,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPTPMLKLNHPFFAO76CA,6,40.16,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPVPMLKLNHPFFAO96CA,26,61.63,住家用,鋼筋混凝土造,82年10月19日,七層,六層
RPVPMLKLNHPFFAO96CA,26,5.92,共有部分,鋼筋混凝土造,82年10月19日,七層,
RPVPMLKLNHPFFAO96CA,26,9.45,共有部分,鋼筋混凝土造,82年10月19日,七層,
RPXOMLLLNHPFFAO17CA,19,36.21,共有部分,鋼筋混凝土造,89年10月26日,十四層,
RPXOMLLLNHPFFAO17CA,19,.63,住家用,鋼筋混凝土造,89年10月26日,十四層,一層
RPXOMLLLNHPFFAO17CA,19,83.95,住家用,鋼筋混凝土造,89年10月26日,十四層,十一層
RPXOMLLLNHPFFAO17CA,19,16.36,共有部分,鋼筋混凝土造,89年10月26日,十四層,
RPXOMLLLNHPFFAO17CA,19,3.87,共有部分,鋼筋混凝土造,89年10月26日,十四層,
RPQOMLLLNHPFFAO09CA,,93.44,見其他登記事項,鋼筋混凝土造,108年11月7日,十五層,七層
RPQOMLLLNHPFFAO09CA,,17.35,共有部分,鋼筋混凝土造,108年11月7日,十五層,
RPQOMLLLNHPFFAO09CA,,55.65,共有部分,鋼筋混凝土造,108年11月7日,十五層,
RPSQMLPLNHPFFAO27CA,5,225.47,見其他登記事項,鋼筋混凝土造,103年12月25日,三層,一層 二層 三層 地下一層 見其他登記事項
RPSQMLPLNHPFFAO27CA,5,.14,共有部分,鋼筋混凝土造,103年12月25日,一層,
RPQPMLLLNHPFFAO56CA,11,.03,見其他登記事項,鋼筋混凝土造,98年9月22日,一層,一層
RPQPMLLLNHPFFAO56CA,11,48.14,見其他登記事項,鋼筋混凝土造,98年9月22日,十四層,
RPQPMLLLNHPFFAO56CA,11,121.35,見其他登記事項,鋼筋混凝土造,98年9月22日,十三層,六層
RPQPMLLLNHPFFAO56CA,11,20.87,見其他登記事項,鋼筋混凝土造,98年9月22日,十三層,
RPQPMLLLNHPFFAO56CA,11,24.33,見其他登記事項,鋼筋混凝土造,98年9月22日,十四層,
RPUOMLOLNHPFFAO17CA,41,118.80,住家用,加強磚造,68年8月20日,二層,一層 二層
RPQNMLNLNHPFFAO56CA,12,40.22,見其他登記事項,鋼筋混凝土造,97年1月31日,十五層,五層
RPQNMLNLNHPFFAO56CA,12,48.55,見其他登記事項,鋼筋混凝土造,97年1月31日,十五層,
RPVOMLNJOHPFFAO07CA,7,67.21,見其他登記事項,鋼筋混凝土造,102年5月13日,十四層,十層
RPVOMLNJOHPFFAO07CA,7,17.21,共有部分,鋼筋混凝土造,102年5月13日,十四層,
RPVOMLNJOHPFFAO07CA,7,51.99,共有部分,鋼筋混凝土造,102年5月13日,十四層,
RPOOMLSJOHPFFAO86CA,9,.01,見其他登記事項,鋼筋混凝土造,100年7月18日,十四層,一層
RPOOMLSJOHPFFAO86CA,9,17.30,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOOMLSJOHPFFAO86CA,9,.00,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOOMLSJOHPFFAO86CA,9,87.75,見其他登記事項,鋼筋混凝土造,100年7月18日,十四層,四層
RPOOMLSJOHPFFAO86CA,9,16.33,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOOMLSJOHPFFAO86CA,9,20.42,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPVNMLLJOHPFFAO76CA,7,147.49,見其他登記事項,鋼筋混凝土造,102年1月2日,十八層,十六層
RPVNMLLJOHPFFAO76CA,7,22.48,共有部分,鋼筋混凝土造,102年1月2日,十八層,
RPVNMLLJOHPFFAO76CA,7,108.05,共有部分,鋼筋混凝土造,102年1月2日,十八層,
RPXPMLMJOHPFFAO27CA,39,203.12,住商用,鋼筋混凝土造,69年10月28日,四層,一層 二層 三層 四層 騎樓
RPVNMLTLNHPFFAO67CA,,48.02,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPVNMLTLNHPFFAO67CA,,62.45,見其他登記事項,鋼筋混凝土造,108年10月22日,十層,五層
RPVNMLTLNHPFFAO67CA,,12.81,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPUNMLMLNHPFFAO86CA,2,98.24,見其他登記事項,鋼筋混凝土造,107年9月3日,二十七層,二十層
RPUNMLMLNHPFFAO86CA,2,24.04,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPUNMLMLNHPFFAO86CA,2,53.67,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPWNMLTLNHPFFAO77CA,,16.87,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPWNMLTLNHPFFAO77CA,,82.25,見其他登記事項,鋼筋混凝土造,108年10月22日,十層,四層
RPWNMLTLNHPFFAO77CA,,53.36,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPWOMLRLNHPFFAO67CA,5,29.22,共有部分,鋼筋混凝土造,103年10月20日,十一層,
RPWOMLRLNHPFFAO67CA,5,23.51,見其他登記事項,鋼筋混凝土造,103年10月20日,十一層,十層
RPSNMLPLNHPFFAO96CA,8,641.08,見其他登記事項,鋼筋混凝土造,100年11月23日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLKLOHPFFAO09CA,,107.20,住家用,加強磚造,,二層,一層 二層
RPTNMLRLNHPFFAO27CA,8,114.44,見其他登記事項,鋼筋混凝土造,101年10月15日,十一層,八層
RPTNMLRLNHPFFAO27CA,8,109.70,共有部分,鋼筋混凝土造,101年10月15日,十一層,
RPPOMLMKOHPFFAO09CA,22,40.38,見其他登記事項,鋼筋混凝土造,87年7月18日,二十二層,
RPPOMLMKOHPFFAO09CA,22,115.21,住家用,鋼筋混凝土造,87年7月18日,二十二層,八層
RPPOMLMKOHPFFAO09CA,22,33.92,見其他登記事項,鋼筋混凝土造,87年7月18日,二十二層,
RPPOMLMKOHPFFAO09CA,22,1.89,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層 地下一層 地下二層 地下三層
RPPOMLMKOHPFFAO09CA,22,.38,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層
RPUPMLMKOHPFFAO07CA,6,217.49,見其他登記事項,鋼筋混凝土造,103年6月16日,四層,一層 二層 三層 四層 見其他登記事項
RPQPMLRLNHPFFAO17CA,,18.88,共有部分,鋼筋混凝土造,,八層,
RPQPMLRLNHPFFAO17CA,,56.61,住家用,鋼筋混凝土造,,八層,八層
RPQNMLTLNHPFFAO17CA,25,33.96,,鋼筋混凝土造,83年11月14日,五層,地下層
RPQNMLTLNHPFFAO17CA,25,7.23,住家用,鋼筋混凝土造,83年11月14日,五層,
RPQNMLTLNHPFFAO17CA,25,88.58,住家用,鋼筋混凝土造,83年11月14日,五層,三層
RPPOMLKKOHPFFAO88CA,,49.08,住家用,加強磚造,,二層,一層 二層
