鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市新華里3鄰中正一路511~540號,34.01,,鄉村區,乙種建築用地,1090402,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071206,156.87,3,2,2,有,有,5500000,35061,坡道平面,0.0,1100000,,RPQNMLMKNHPFFFK09CA
頭份巿,房地(土地+建物),苗栗縣頭份市新華里3鄰中正一路511~540號,34.01,,鄉村區,乙種建築用地,1090410,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071206,125.94999999999999,3,2,2,有,有,4860000,38587,,0.0,0,,RPRNMLMKNHPFFFK56CA
頭份巿,房地(土地+建物),苗栗縣頭份市濫坑里4鄰尖豐路1159巷1~30號,266.83,,特定農業區,丁種建築用地,1090330,土地5建物1車位0,全,一層,透天厝,工業用,鋼筋混凝土造,1040904,163.68,3,2,2,有,有,7350000,44905,,0.0,0,,RPPOMLNKNHPFFFK56CA
頭份巿,房地(土地+建物),苗栗縣頭份市斗煥里14鄰中正二路35巷3弄31~60號,111.7,,山坡地保育區,丙種建築用地,1090405,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0950727,176.03,4,2,3,有,無,6100000,34653,,0.0,0,含增建或未登記建物。;增建:陽台外推,RPTNMLOKNHPFFFK96CA
頭份巿,房地(土地+建物),苗栗縣頭份市珊湖里2鄰學府路42巷1~30號,83.91,,山坡地保育區,丙種建築用地,1090429,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840714,132.16,3,2,3,有,無,2000000,15133,,0.0,0,,RPSNMLOKNHPFFFK86CA
頭份巿,房地(土地+建物),苗栗縣頭份市珊湖里2鄰學府路42巷1~30號,83.91,,山坡地保育區,丙種建築用地,1090429,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840714,144.11,3,2,3,有,無,1800000,12490,,0.0,0,,SPSNMLOKNHPFFFK96CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市民權里4鄰銀河路241~270號,27.47,住,,,1090213,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070809,148.07999999999998,3,2,2,有,有,7500000,53349,坡道平面,26.24,1000000,,RPTNMLPKNHPFFFK07CA
頭份巿,土地,濫坑段61~90地號,2570.47,,山坡地保育區,農牧用地,1090317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,778,,0.0,0,,RPUNMLPKNHPFFFK17CA
頭份巿,土地,藤坪段511~540地號,1181.59,,山坡地保育區,農牧用地,1090413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1250000,1058,,0.0,0,,RPVNMLPKNHPFFFK27CA
頭份巿,土地,和平段1531~1560地號,267.75,商,,,1090215,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9719340,36300,,0.0,0,親友、員工或其他特殊關係間之交易。;含地上未保存建物一併移轉,RPPNMLQKNHPFFFK76CA
頭份巿,房地(土地+建物),苗栗縣頭份市自強里14鄰自強路93巷1~30號,146.74,住,,,1090307,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040421,330.3,7,2,6,有,無,23000000,69634,,0.0,0,,RPPNMLTKNHPFFFK07CA
頭份巿,土地,大化段301~330地號,193.99,,鄉村區,乙種建築用地,1090409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6400000,32991,,0.0,0,,RPPNMLNKNHPFFFK09CA
頭份巿,房地(土地+建物),苗栗縣頭份市東庄里18鄰東民二街31~60號,174.89,工,,,1090327,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1000131,255.88,4,2,3,有,無,18650000,72886,,0.0,0,,RPSNMLNKNHPFFFK76CA
頭份巿,房地(土地+建物),苗栗縣頭份市後庄里3鄰信義路731巷15弄1~30號,79.26,住,,,1090225,土地7建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0950601,202.29,4,2,4,有,無,9180000,45380,,0.0,0,,RPXNMLNKNHPFFFK27CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市田寮里7鄰南田街181~210號,43.83,住,,,1090331,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050119,143.93,3,2,2,有,有,5300000,36823,一樓平面,0.0,0,,RPUNMLTKNHPFFFK57CA
頭份巿,土地,濫坑段301~330地號,1910.0,,特定農業區,丁種建築用地,1090302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23750000,12435,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLTJOHPFFFK07CA
苗栗市,房地(土地+建物),苗栗縣苗栗市北苗里2鄰三西街61~90號,21.03,住,,,1090428,土地1建物1車位0,三層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800115,130.3,2,1,1,有,無,721400,5536,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLOKNHPFFBK76DA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮福田里12鄰151~180號,362.4,,特定農業區,農牧用地,1090327,土地1建物1車位0,全,一層,透天厝,農舍,見其他登記事項,0670605,30.84,7,2,2,有,無,877200,28444,,0.0,0,親友、員工或其他特殊關係間之交易。雙方未訂定私契。,RPWNMLMLNHPFFCK86CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮聖福里16鄰環市路三段151~180號,79.56,住,,,1090310,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830429,271.69,4,2,4,有,無,15000000,55210,,0.0,0,,RPXNMLPLNHPFFDK37CA
