鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
美濃區,土地,美濃段4321~4350地號,635.0,,特定農業區,農牧用地,1090501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5580000,8787,,0.0,0,含增建或未登記建物。;農地買賣含未保存建築物,RPTNMLKLNHPFFKE56CA
桃源區,土地,梅蘭段31~60地號,9480.0,,山坡地保育區,林業用地,1090430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1142800,121,,0.0,0,受債權債務影響或債務抵償之交易。;,RPUNMLLLNHPFFKE76CA
美濃區,土地,瀰濃段961~990地號,8.71,其他,,,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24378,2799,,0.0,0,本案為協議價購案件,RPRNMLMLNHPFFKE56CA
美濃區,土地,瀰濃段961~990地號,8.71,其他,,,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24378,2799,,0.0,0,本案為協議價購案件,RPSNMLMLNHPFFKE66CA
美濃區,土地,瀰濃段961~990地號,8.71,其他,,,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24378,2799,,0.0,0,本案為協議價購案件,RPTNMLMLNHPFFKE76CA
大寮區,房地(土地+建物),高雄市大寮區鳳林一路82巷181~210號,71.4,住,,,1090412,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810525,171.76,5,2,3,有,無,4950000,28819,,0.0,0,含增建或未登記建物。;,RPRNMLNKNHPFFLE66CA
林園區,房地(土地+建物),高雄市林園區東林里忠孝東路81巷1~30號,120.0,住,,,1090425,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1081111,176.42,6,2,3,有,無,7500000,42512,,0.0,0,,RPUNMLOKNHPFFLE07CA
林園區,房地(土地+建物),高雄市林園區溪州里忠孝東路151~180號,29.64,住,,,1090411,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090217,84.32,2,2,0,有,有,3700000,43880,,0.0,0,,RPXNMLOKNHPFFLE37CA
林園區,房地(土地+建物)+車位,高雄市林園區溪州里忠孝東路151~180號,35.65,住,,,1090409,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090217,101.42,2,2,1,有,有,4200000,42042,一樓平面,18.17,700000,,RPOOMLOKNHPFFLE56CA
林園區,房地(土地+建物),高雄市林園區王公路100巷1~30號,20.77,住,,,1090407,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840118,113.80000000000001,3,2,2,有,有,2900000,25483,,0.0,0,賣方已相當減價售出予買方，買方同意賣方對買賣標的物無須負擔瑕疵責任。,RPSNMLPKNHPFFLE96CA
林園區,土地,廣應段661~690地號,28.9,住,,,1090430,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,5190,,0.0,0,,RPQNMLQKNHPFFLE86CA
林園區,土地,溪州段2821~2850地號,1440.0,住,,,1090317,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17707025,12297,,0.0,0,,RPSOMLTKNHPFFLE47CA
大寮區,土地,黃厝段181~210地號,1090.53,農,,,1090430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3060000,2806,,0.0,0,,RPSNMLMLNHPFFLE76CA
大寮區,房地(土地+建物)+車位,高雄市大寮區民富街31~60號,36.49,商,,,1090408,土地1建物1車位2,八層，九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830608,299.65999999999997,5,2,4,有,有,6600000,22025,升降機械,0.0,1000000,,RPUNMLNLNHPFFLE07CA
三民區,土地,鼎中段211~240地號,59.87,住,,,1090430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3205589,53542,,0.0,0,,RPRNMLMKNHPFFDE48DA
三民區,車位,高雄市三民區民族一路811~840號,0.0,,,,1090429,土地0建物0車位1,,,其他,,,,14.88,0,0,0,有,有,450000,,坡道機械,14.88,450000,,RPROMLNKNHPFFDE68DA
鳳山區,房地(土地+建物),高雄市鳳山區鳳頂路151~180號,68.3,住,,,1090504,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0790102,256.54,0,0,0,無,無,11000000,42878,,0.0,0,含增建或未登記建物。;,RPRNMLMKNHPFFGE78DA
內門區,土地,竹坑段991~1020地號,457.7,,一般農業區,甲種建築用地,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,787,,0.0,0,向政府機關承購之案件。;未辦繼承標售之土地,RPPNMLMJOHPFFHE68DA
茄萣區,土地,白雲段1021~1050地號,33.96,住,,,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,8245,,0.0,0,賣清,RPSNMLLJOHPFFJE09DA
林園區,土地,溪州段二小段3511~3540地號,365.0,住,,,1090319,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8832800,24199,,0.0,0,,RPSNMLMKNHPFFLE76DA
林園區,房地(土地+建物),高雄市林園區溪州三路34巷1~30號,81.0,住,,,1090319,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0700519,111.06,3,1,2,有,無,1000000,9004,,0.0,0,含增建或未登記建物。;,RPUNMLSKNHPFFLE57DA
林園區,房地(土地+建物),高雄市林園區溪州三路34巷1~30號,81.0,住,,,1090319,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0700424,108.12,4,1,3,有,無,4000000,36996,,0.0,0,含增建或未登記建物。;,RPVNMLSKNHPFFLE67DA
林園區,土地,溪州段二小段3511~3540地號,81.0,住,,,1090319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,7407,,0.0,0,,RPWNMLSKNHPFFLE77DA
湖內區,房地(土地+建物),高雄市湖內區中山路一段447巷1~30號,101.54,住,,,1090313,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090203,217.62,4,3,3,有,無,10600000,48709,,0.0,0,,RPOOMLNKNHPFFJE98DA
湖內區,土地,工專段781~810地號,1.99,其他,,,1090412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26478,13306,,0.0,0,包含公共設施保留地之交易。;,RPPOMLNKNHPFFJE09DA
左營區,房地(土地+建物),高雄市左營區忠信路1~30號,32.27,住,,,1090405,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750312,122.89,4,2,2,有,無,4160000,33851,,0.0,0,,RPPNMLQJNHPFFEE88CD
