鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,土地,富農段1021~1050地號,64.44,其他,,,1090417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1513203,23482,,0.0,0,包含公共設施保留地之交易。;,RPQPMLNKNHPFFCD38CA
東區,土地,德高段781~810地號,94.26,其他,,,1090505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1227126,13019,,0.0,0,包含公共設施保留地之交易。;,RPXNMLKLNHPFFCD68CA
南區,房地(土地+建物)+車位,臺南市南區興昌路9巷1~30號,44.44,住,,,1080406,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090213,233.15,3,2,3,有,有,13300000,60420,坡道平面,34.54,1300000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSPMLMLNHPFFCD58CA
南區,房地(土地+建物)+車位,臺南市南區興昌路9巷1~30號,28.99,住,,,1080311,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090213,173.82,2,2,2,有,有,9880000,63391,坡道平面,44.78,1700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTPMLMLNHPFFCD68CA
南區,房地(土地+建物),臺南市南區公英五街1~30號,51.62,住,,,1090416,土地3建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0570130,68.76,2,2,2,有,無,4800000,69808,,0.0,0,一樓後方增建,RPQNMLMLNHPFFCD18CA
東區,房地(土地+建物)+車位,臺南市東區崇德十九街61~90號,9.87,商,,,1090412,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841221,79.23,2,1,1,有,無,4250000,53641,坡道機械,0.0,0,含增建或未登記建物。;,RPVNMLLLNHPFFCD58CA
南區,房地(土地+建物),臺南市南區中華南路二段271~300號,37.36,住,,,1090417,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0701126,138.38,3,2,2,有,無,3150000,22763,,0.0,0,,RPWNMLMJOHPFFCD68CA
東區,房地(土地+建物),臺南市東區裕農路726巷2弄1~30號,26.27,住,,,1090411,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700921,88.41,3,2,2,有,無,3800000,42982,,0.0,0,,RPWPMLLJOHPFFCD78CA
南區,房地(土地+建物),臺南市南區大同路二段112巷1~30號,35.77,住,,,1090505,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881021,146.47,3,2,2,有,有,2301236,15711,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLMJOHPFFCD08CA
南區,房地(土地+建物),臺南市南區中華南路二段249巷32弄31~60號,98.15,住,,,1090411,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0990517,242.38,5,2,5,有,無,14250000,58792,,0.0,0,,RPQNMLTLNHPFFCD88CA
東區,房地(土地+建物),臺南市東區長榮路一段211~240號,3.9,商,,,1090412,土地2建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880805,39.89,1,0,1,有,有,2170000,54400,,0.0,0,,RPUNMLQLNHPFFCD98CA
南區,房地(土地+建物)+車位,臺南市南區興昌路9巷1~30號,28.99,住,,,1080120,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090213,163.57,2,2,2,有,有,8550000,58514,坡道平面,34.54,1000000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSOMLSJOHPFFCD98CA
南區,房地(土地+建物)+車位,臺南市南區興昌路9巷1~30號,35.76,住,,,1071110,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090213,195.54,3,2,3,有,有,10560000,59689,坡道平面,34.54,950000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLSJOHPFFCD09CA
南區,房地(土地+建物)+車位,臺南市南區興昌路9巷1~30號,28.99,住,,,1071115,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090213,163.57,2,2,2,有,有,8800000,60839,坡道平面,34.54,950000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUOMLSJOHPFFCD56CA
新營區,土地,王公廟段1~30地號,2015.0,工,,,1090330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26000000,12903,,0.0,0,,RPPNMLNKNHPFFDD18CA
新營區,土地,民族段511~540地號,5.27,商,,,1090429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,286425,54350,,0.0,0,向政府機關承購之案件。;畸零地之交易,RPRNMLOKNHPFFDD48CA
新營區,土地,新秀才段841~870地號,3929.26,,河川區,農牧用地,1090506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1217680,310,,0.0,0,,RPOOMLOKNHPFFDD28CA
新營區,土地,新秀才段841~870地號,1964.63,,河川區,農牧用地,1090504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,608840,310,,0.0,0,,RPPOMLOKNHPFFDD38CA
鹽水區,土地,新岸段301~330地號,135.8,住,,,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,14728,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLPKNHPFFDD58CA
新營區,房地(土地+建物),臺南市新營區嘉芳里9鄰嘉芳街28巷31~60號,88.71,住,,,1090417,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030416,163.05,4,3,3,有,無,7500000,45998,,0.0,0,,RPTNMLPKNHPFFDD78CA
新營區,土地,綠川段421~450地號,659.22,商,,,1090404,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18648500,28289,,0.0,0,包含公共設施保留地之交易。;,RPQNMLRLNHPFFDD78CA
新營區,房地(土地+建物),臺南市新營區新進路二段61~90號,69.8,商,,,1081231,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0790330,216.07,6,2,4,有,無,7000000,32397,,0.0,0,,RPQNMLKMNHPFFDD18CA
白河區,土地,蓮潭段一小段451~480地號,513.0,,特定農業區,農牧用地,1090430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,4483,,0.0,0,,RPTNMLLLNHPFFED58CA
白河區,土地,竹子門段1~30地號,6805.0,,山坡地保育區,農牧用地,1090506,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1849700,272,,0.0,0,,RPUNMLLLNHPFFED68CA
麻豆區,土地,寮子段391~420地號,357.9,,鄉村區,乙種建築用地,1090319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3464300,9680,,0.0,0,,RPRNMLOKNHPFFFD68CA
麻豆區,土地,南寮段151~180地號,2138.0,,特定農業區,農牧用地,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4489800,2100,,0.0,0,,RPPNMLOKNHPFFFD48CA
白河區,土地,長安段1171~1200地號,210.88,住,,,1090417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2522000,11959,,0.0,0,,RPRNMLLKOHPFFED38CA
麻豆區,土地,興國段451~480地號,65.18,住,,,1090414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,有,960000,14728,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLLLNHPFFFD38CA
西港區,房地(土地+建物),臺南市西港區新興街1~30號,14.29,住,,,1090501,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841223,85.41,2,1,2,有,有,1950000,22831,,0.0,0,,RPPOMLNKNHPFFGD58CA
西港區,土地,大塭寮段1801~1830地號,1006.0,,特定農業區,農牧用地,1090326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4473,,0.0,0,,RPRNMLOKNHPFFGD78CA
西港區,土地,港安段571~600地號,102.04,住,,,1090319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,26460,,0.0,0,,RPSNMLOKNHPFFGD88CA
學甲區,土地,中洲南段2041~2070地號,111.01,,鄉村區,乙種建築用地,1090426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1370000,12341,,0.0,0,,RPUNMLLLNHPFFGD88CA
學甲區,土地,中洲南段2071~2100地號,109.64,,鄉村區,乙種建築用地,1090426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1320000,12039,,0.0,0,,RPVNMLLLNHPFFGD98CA
佳里區,房地(土地+建物),臺南市佳里區建南里24鄰佳南路590巷1~30號,117.39,住,,,1090413,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950606,193.34,4,3,3,有,無,6050000,31292,,0.0,0,,RPROMLTKNHPFFGD76CA
新化區,房地(土地+建物),臺南市新化區頂山腳91~120號,476.0,,鄉村區,乙種建築用地,1090422,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0810424,174.82,8,2,4,有,無,4351700,24892,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRNMLOKNHPFFHD88CA
新市區,房地(土地+建物),臺南市新市區大社361~390號,105.0,,鄉村區,乙種建築用地,1090318,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080717,211.71,5,2,3,有,無,10360000,48935,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPVOMLOKNHPFFHD76CA
新化區,房地(土地+建物),臺南市新化區頂山?31~60號,86.55,,特定農業區,甲種建築用地,1081228,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090205,160.63,5,2,3,有,無,7500000,46691,,0.0,0,,RPVOMLSLNHPFFHD27CA
新化區,房地(土地+建物),臺南市新化區頂山?31~60號,86.55,,特定農業區,甲種建築用地,1081215,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090205,160.63,5,2,3,有,無,7650000,47625,,0.0,0,,RPWOMLSLNHPFFHD37CA
新化區,房地(土地+建物),臺南市新化區頂山?31~60號,86.55,,特定農業區,甲種建築用地,1080420,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090205,161.49,4,2,3,有,無,7700000,47681,,0.0,0,,RPXOMLSLNHPFFHD47CA
新化區,房地(土地+建物),臺南市新化區頂山?31~60號,86.0,,特定農業區,甲種建築用地,1071227,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090205,198.45,4,2,4,有,無,9000000,45351,,0.0,0,,RPWNMLQLNHPFFHD07CA
新化區,房地(土地+建物),臺南市新化區頂山?31~60號,148.82,,特定農業區,甲種建築用地,1071112,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090205,278.78,5,2,6,有,無,13100000,46990,,0.0,0,,RPSNMLRLNHPFFHD76CA
善化區,房地(土地+建物)+車位,臺南市善化區西拉雅大道391~420號,30.18,商,,,1090418,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051118,125.82,2,0,2,有,有,4900000,38945,坡道平面,31.42,0,,RPPNMLNLNHPFFHD68CA
安定區,房地(土地+建物),臺南市安定區安定241~270號,69.22,住,,,1090506,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090203,154.29,4,2,4,有,無,7880000,51073,,0.0,0,,RPTOMLPKNHPFFHD66CA
新市區,房地(土地+建物),臺南市新市區光華街91~120號,95.78,住,,,1090316,土地3建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850223,254.0,8,1,7,有,無,10800000,42520,,0.0,0,,RPQNMLLLNHPFFHD58CA
善化區,房地(土地+建物),臺南市善化區公園路258巷1~30號,148.48,住,,,1090402,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031111,342.86,5,2,6,有,無,18000000,52500,,0.0,0,,RPSNMLKMNHPFFHD78CA
善化區,房地(土地+建物),臺南市善化區燈會街18巷1~30號,77.36,住,,,1090328,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080628,153.24,4,2,4,有,有,10800000,70478,,0.0,0,,RPUNMLLJOHPFFHD88CA
歸仁區,房地(土地+建物),臺南市歸仁區看東里仁愛三街61~90號,192.12,住,,,1090331,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1060922,399.68,5,2,6,有,無,21700000,54293,,0.0,0,,RPTNMLKLNHPFFID88CA
仁德區,土地,車頭段631~660地號,3154.76,農,,,1090505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17000000,5389,,0.0,0,原因：親屬間買賣。,RPPNMLQKNHPFFID98CA
關廟區,土地,文衡段1111~1140地號,175.0,其他,,,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2222500,12700,,0.0,0,,RPSNMLSKNHPFFID86CA
