鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,房地(土地+建物)+車位,新北市中和區中正路811~840號,16.8,住,,,1090401,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880915,121.16999999999999,2,1,1,有,有,無,24000,198,坡道平面,36.97,0,,RPROMLNKNHPFFHF66CC
中和區,建物,新北市中和區景平路601~630號,0.0,工,,,1090408,土地0建物1車位0,十層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0921125,52.35,0,0,0,無,有,無,17000,325,,0.0,0,,RPSOMLNKNHPFFHF76CC
中和區,建物,新北市中和區中正路211巷36弄1~30號,0.0,住,,,1090417,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0970528,121.53999999999999,3,1,2,有,有,無,25000,206,,0.0,0,,RPTOMLNKNHPFFHF86CC
中和區,建物,新北市中和區中正路871~900號,0.0,工,,,1090415,土地0建物1車位0,十五層,17,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0910617,356.21,1,0,0,無,有,無,79196,222,,0.0,0,,RPTNMLNKNHPFFHF96EC
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路152巷61~90號,23.02,住,,,1090508,土地2建物1車位1,七層,21,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080603,167.8,3,2,2,有,有,無,28000,167,坡道平面,38.24,0,,RPPOMLOKNHPFFDF88DC
中和區,建物,新北市中和區中山路三段37巷31~60號,0.0,工,,,1090509,土地0建物1車位1,二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970519,214.17000000000002,4,2,2,有,無,有,35000,163,坡道平面,30.21,0,,RPXNMLOKNHPFFHF27CC
中和區,建物,新北市中和區光華街31~60號,0.0,住,,,1090425,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0671003,71.75,0,1,0,有,無,無,25000,348,,0.0,0,有民情風俗因素之交易。;,RPQPMLOKNHPFFHF76CC
新店區,建物,新北市新店區中華路60巷61~90號,0.0,住,,,1090418,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661117,90.88,3,2,2,有,無,有,18000,198,,0.0,0,,RPROMLOKNHPFFCF88CC
汐止區,房地(土地+建物),新北市汐止區連興街1~30號,21.0,商,,,1090417,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700307,92.88,3,2,1,有,無,無,14500,156,,0.0,0,,RPUNMLOKNHPFFDF56CC
三重區,建物,新北市三重區自強路一段91~120號,0.0,住,,,1090424,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,0841129,92.4,1,1,1,有,無,無,25000,271,,0.0,0,有民情風俗因素之交易。;租期第二年起租金調整為27000元。承租方為法人，申請設立中，以自然人申報。,RPXNMLOKNHPFFGF17CC
三重區,建物,新北市三重區重新路二段36巷1~30號,0.0,住,,,1090423,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0890212,76.67,0,1,1,有,有,無,30000,391,,0.0,0,租期內含免租裝潢期。,RPRPMLOKNHPFFGF76CC
蘆洲區,建物,新北市蘆洲區水湳街241~270號,0.0,住,,,1090426,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880124,83.44999999999999,3,2,1,有,有,有,24000,288,,0.0,0,,RPQQMLOKNHPFFGF76CC
三重區,建物,新北市三重區新北市三重區環河南路121~150號,0.0,住,,,1090512,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051018,45.64,1,0,1,有,無,有,16100,353,,0.0,0,,RPRQMLOKNHPFFGF86CC
三重區,建物,新北市三重區仁政街70巷1~30號,0.0,住,,,1090508,土地0建物0車位0,全,4,透天厝,工業用,加強磚造,0651012,26.45,1,0,1,有,無,有,9150,346,,0.0,0,此為分租套房，第3層共分成120間，一間平均面積約為26.45平方公尺,RPSQMLOKNHPFFGF96CC
三重區,建物,新北市三重區重新路四段214巷1~30號,0.0,住,,,1090426,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051208,150.1,3,2,2,有,無,有,26000,173,,0.0,0,,RPWQMLOKNHPFFGF37CC
淡水區,房地(土地+建物),新北市淡水區新民街19巷61~90號,13.57,住,,,1090503,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891027,75.6,2,2,1,有,有,有,12000,159,,0.0,0,,RPQPMLOKNHPFFEF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,8.06,住,,,1090513,土地1建物1車位1,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,122.68,2,1,1,有,有,有,16000,130,坡道平面,0.0,0,,RPXPMLOKNHPFFEF17CC
淡水區,建物,新北市淡水區中正路一段22巷1~30號,0.0,住,,,1090426,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830309,77.24,2,2,1,有,無,有,11000,142,,0.0,0,有民情風俗因素之交易。;,RPXRMLOKNHPFFEF37CC
新莊區,建物,新北市新莊區新北大道七段391~420號,0.0,其他,,,1090424,土地0建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880409,82.73,3,2,2,有,有,有,17000,205,,0.0,0,有民情風俗因素之交易。;租金含管理費。,RPSPMLOKNHPFFBF98CC
新莊區,房地(土地+建物),新北市新莊區中央路181~210號,48.69,商,,,1090415,土地1建物1車位0,見其他登記事項,28,店面(店鋪),見其他登記事項,見其他登記事項,1011228,449.62,0,0,0,無,有,無,120000,267,,0.0,0,,RPRQMLOKNHPFFBF98CC
五股區,建物,新北市五股區新城八路1~30號,0.0,商,,,1090425,土地0建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060104,131.65,3,2,2,有,有,有,22000,167,坡道平面,0.0,0,,RPTQMLOKNHPFFBF56CC
新莊區,建物,新北市新莊區五工五路1~30號,0.0,,工業區,丁種建築用地,1090420,土地0建物1車位4,見其他登記事項,4,廠辦,見其他登記事項,鋼筋混凝土造,0800927,1686.84,0,0,0,無,無,無,330000,196,一樓平面,0.0,0,,RPUQMLOKNHPFFBF66CC
新莊區,房地(土地+建物),新北市新莊區頭興街151~180號,10.54,商,,,1090412,土地1建物1車位0,六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040429,84.36,2,1,1,有,有,有,23000,273,,0.0,0,,RPWQMLOKNHPFFBF86CC
新莊區,房地(土地+建物),新北市新莊區新莊路721~750號,43.72,住,,,1090420,土地1建物1車位0,全,2,透天厝,商業用,加強磚造,0570415,79.77,0,0,1,有,無,無,19000,238,,0.0,0,,RPXQMLOKNHPFFBF96CC
新莊區,建物,新北市新莊區新泰路301~330號,0.0,住,,,1090415,土地0建物2車位0,見其他登記事項,10,店面(店鋪),住商用,鋼筋混凝土造,0790119,368.62,0,0,1,有,有,無,180000,488,,0.0,0,租金調整:第1-5年每月18萬，第6-10年每月18.9萬,RPVSMLOKNHPFFBF96CC
板橋區,建物,新北市板橋區中山路二段465巷91~120號,0.0,住,,,1090425,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.53,3,2,2,有,無,有,16000,162,,0.0,0,,RPTOMLOKNHPFFAF88CC
板橋區,建物,新北市板橋區三民路二段21巷61~90號,0.0,住,,,1090508,土地0建物1車位0,二層,2,套房(1房1廳1衛),住家用,加強磚造,0700522,19.83,1,1,1,有,無,有,10500,530,,0.0,0,此為透天產品隔套出租，租其中一套房。租賃期間西元2020年5月11日起至2021年5月31日止。,RPVOMLOKNHPFFAF09CC
板橋區,建物,新北市板橋區文化路一段211~240號,0.0,住,,,1090425,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620130,66.25,0,2,1,有,無,有,27500,415,,0.0,0,,RPOPMLOKNHPFFAF48CC
板橋區,建物,新北市板橋區文化路一段435巷1~30號,0.0,住,,,1090429,土地0建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,,79.01,0,0,0,無,無,無,180000,2278,,0.0,0,,RPOOMLPKNHPFFAF48CC
土城區,建物,新北市土城區清水路235巷1弄1~30號,0.0,住,,,1090430,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711201,101.63,3,2,2,有,無,無,17000,167,,0.0,0,,RPVOMLPKNHPFFAF56CC
板橋區,建物,新北市板橋區民生路二段121~150號,0.0,住,,,1090427,土地0建物1車位0,五層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,,40.49,1,1,1,有,有,有,12500,309,,0.0,0,,RPWOMLPKNHPFFAF66CC
土城區,建物,新北市土城區金城路三段31~60號,0.0,住,,,1090428,土地0建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991228,160.4,2,2,2,有,有,有,28000,175,坡道平面,37.94,0,租金含管理費。租期內含免租裝潢期。,RPOQMLPKNHPFFAF68CC
板橋區,建物,新北市板橋區大仁街67巷1~30號,0.0,住,,,1090428,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670721,63.74,3,2,1,有,無,有,15000,235,,0.0,0,,RPPQMLPKNHPFFAF78CC
新莊區,房地(土地+建物)+車位,新北市新莊區中平路184巷1~30號,16.93,住,,,1090421,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,138.49,3,2,2,有,有,有,30000,217,其他,18.19,0,,RPXTMLPKNHPFFBF37CC
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道三段61~90號,10.79,商,,,1090422,土地1建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951005,169.31,3,2,2,有,有,有,24000,142,坡道平面,48.65,0,,RPPUMLPKNHPFFBF66CC
五股區,房地(土地+建物)+車位,新北市五股區芳洲一路61~90號,24.09,住,,,1090419,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031009,148.01,3,2,2,有,有,無,20000,135,坡道平面,20.08,0,,RPRUMLPKNHPFFBF86CC
新莊區,房地(土地+建物),新北市新莊區中原路301~330號,31.75,住,,,1090423,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890718,255.54,4,2,2,有,有,有,28000,110,,0.0,0,,RPXUMLPKNHPFFBF47CC
新莊區,房地(土地+建物),新北市新莊區中誠街46巷2弄1~30號,24.76,住,,,1090511,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710225,77.22,3,2,1,有,無,無,14000,181,,0.0,0,,RPPVMLPKNHPFFBF76CC
淡水區,房地(土地+建物),新北市淡水區北新路182巷5弄31~60號,14.26,住,,,1090501,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0781117,115.58,0,0,0,無,無,無,20000,173,,0.0,0,,RPUNMLPKNHPFFEF76CC
淡水區,建物,新北市淡水區濱海路二段211~240號,0.0,住,,,1090427,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060216,172.42000000000002,3,2,2,有,有,有,20000,116,坡道平面,33.07,0,租金含管理費。,RPSPMLPKNHPFFEF76CC
淡水區,建物,新北市淡水區沙崙路一段126巷61~90號,0.0,住,,,1090428,土地0建物1車位1,一層,18,店面(店鋪),見其他登記事項,鋼筋混凝土造,1060824,153.03,0,1,1,有,有,無,22000,144,坡道平面,26.54,0,租金含管理費。租期內含免租裝潢期。,RPOQMLPKNHPFFEF09CC
淡水區,房地(土地+建物),新北市淡水區淡金路一段541~570號,27.64,住,,,1090513,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,148.65,3,2,2,有,有,有,23000,155,,0.0,0,,RPPQMLPKNHPFFEF56CC
淡水區,房地(土地+建物),新北市淡水區沙崙路一段1~30號,13.14,住,,,1090513,土地1建物1車位0,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,67.24000000000001,2,1,1,有,有,有,12000,178,,0.0,0,,RPSQMLPKNHPFFEF86CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段148巷1~30號,36.27,住,,,1090423,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,167.63,3,2,2,有,有,無,19000,113,坡道平面,30.89,0,,RPTQMLPKNHPFFEF96CC
淡水區,車位,新北市淡水區新市一路一段121~150號,0.24,住,,,1090504,土地0建物0車位1,,,其他,,,,27.6,0,0,0,有,有,無,1700,,坡道平面,27.6,1700,,RPWQMLPKNHPFFEF27CC
蘆洲區,建物,新北市蘆洲區永康街61~90號,0.0,住,,,1090425,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871215,100.46000000000001,3,2,2,有,有,有,24000,239,,0.0,0,租金含管理費。,RPVNMLPKNHPFFGF07CC
三重區,建物,新北市三重區溪尾街31~60號,0.0,工,,,1090501,土地0建物1車位0,五層,8,辦公商業大樓,見其他登記事項,見其他登記事項,0930518,99.17,0,0,0,無,無,無,21000,212,,0.0,0,僅承租部份面積,RPQPMLPKNHPFFGF76CC
三重區,建物,新北市三重區溪尾街31~60號,0.0,工,,,1090501,土地0建物1車位0,六層,8,辦公商業大樓,見其他登記事項,見其他登記事項,0930518,120.13,0,0,0,無,無,無,20500,171,,0.0,0,僅承租部份面積,RPSPMLPKNHPFFGF96CC
三重區,建物,新北市三重區重陽路二段31~60號,0.0,住,,,1090513,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0650113,23.25,1,0,1,有,無,有,9500,409,,0.0,0,此為分租套房，第2層共分成4間，一間平均面積約為23.25平方公尺,RPTQMLPKNHPFFGF17CC
蘆洲區,建物,新北市蘆洲區三民路361~390號,0.0,其他,,,1090515,土地0建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040409,151.57,3,1,2,有,有,有,36588,241,坡道平面,26.99,0,租金未含管理費,RPTRMLPKNHPFFGF27CC
