鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,土地,瓊林段361~390地號,95.83,其他,,,1090401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8329181,86916,,0.0,0,,RPVQMLLKNHPFFBF88CA
新莊區,房地(土地+建物),新北市新莊區四維路212巷4弄1~30號,8.69,住,,,1090420,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840117,65.05,2,1,1,有,有,6530000,100384,,0.0,0,含增建或未登記建物。;,RPROMLMKNHPFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區昌隆街61~90號,12.07,其他,,,1090329,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910819,143.69,3,2,2,有,有,14500000,100912,坡道平面,38.54,0,含增建或未登記建物。;,RPTOMLMKNHPFFBF58CA
新莊區,房地(土地+建物),新北市新莊區中華路二段271~300號,13.81,住,,,1090330,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820907,94.06,1,2,1,有,有,9700000,103126,,0.0,0,含增建或未登記建物。;,RPRQMLMKNHPFFBF58CA
新莊區,土地,公館段901~930地號,686.06,工,,,1090322,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,101250000,147582,,0.0,0,,RPVQMLMKNHPFFBF98CA
林口區,房地(土地+建物),新北市林口區仁愛二路61~90號,9.6,住,,,1090408,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080621,71.9,2,1,1,有,有,7200000,100139,,0.0,0,,RPSRMLMKNHPFFBF78CA
新莊區,車位,新北市新莊區龍安路69巷1~30號,1.75,住,,,1090416,土地0建物0車位1,,,其他,,,,24.95,0,0,0,有,有,1800000,,坡道平面,24.95,1800000,,RPPOMLNKNHPFFBF28CA
新莊區,房地(土地+建物),新北市新莊區西盛街231巷1~30號,12.87,住,,,1090415,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090116,68.44999999999999,1,1,1,有,有,7500000,109569,,0.0,0,,RPSOMLNKNHPFFBF58CA
新莊區,房地(土地+建物),新北市新莊區西盛街231巷1~30號,12.87,住,,,1090415,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090116,68.44999999999999,1,1,1,有,有,7600000,111030,,0.0,0,,RPTOMLNKNHPFFBF68CA
新莊區,房地(土地+建物),新北市新莊區西盛街231巷1~30號,9.95,住,,,1090415,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090116,52.14,0,0,0,無,有,6000000,115075,,0.0,0,,RPVOMLNKNHPFFBF88CA
新莊區,房地(土地+建物),新北市新莊區西盛街231巷1~30號,9.95,住,,,1090415,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090116,52.14,0,0,0,無,有,5660000,108554,,0.0,0,,RPWOMLNKNHPFFBF98CA
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路77巷1~30號,21.16,住,,,1090316,土地1建物1車位1,九層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050704,216.12,4,2,2,有,有,20900000,104658,坡道平面,36.01,2050000,,RPOPMLNKNHPFFBF28CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段211~240號,21.02,住,,,1090415,土地1建物1車位1,四層，夾層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850209,105.32,4,2,2,有,有,8130000,77193,坡道平面,0.0,0,,RPRSMLMKNHPFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區南勢四街181~210號,58.98,住,,,1090419,土地1建物1車位2,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000714,240.5,3,2,2,有,有,15300000,63617,坡道平面,0.0,0,,RPQNMLNKNHPFFBF28CA
林口區,房地(土地+建物)+車位,新北市林口區公園路223巷1~30號,26.52,住,,,1090405,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801102,181.86,3,2,2,有,有,9600000,52788,坡道平面,0.0,0,含增建或未登記建物。;,RPTQMLNKNHPFFBF88CA
新莊區,土地,裕民段421~450地號,60.2,其他,,,1090428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7254702,120510,,0.0,0,包含公共設施保留地之交易。;,RPQRMLNKNHPFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.75,住,,,1081129,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.65,2,1,1,有,有,10600000,91225,坡道平面,28.8,1400000,,RPSNMLOKNHPFFBF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.63,住,,,1081128,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,128.96,2,1,1,有,有,10680000,92153,坡道平面,28.8,1450000,,RPTNMLOKNHPFFBF68CA
