鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,23.38,住,,,1080622,土地2建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.7,2,2,1,有,無,20040000,167419,坡道平面,32.25,0,,RPQOMLLKNHPFFAA67CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,42.93,住,,,1080622,土地2建物1車位2,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.41,3,2,3,有,無,34500000,158686,坡道平面,64.5,0,,RPROMLLKNHPFFAA77CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,23.16,住,,,1080622,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.7,2,2,1,有,無,19750000,164996,坡道平面,32.25,0,,RPSOMLLKNHPFFAA87CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,31.03,住,,,1080622,土地2建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,151.94,3,2,2,有,無,25100000,165197,坡道平面,32.25,0,,RPTOMLLKNHPFFAA97CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,36.34,住,,,1080710,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,175.31,3,2,2,有,無,30150000,171981,坡道平面,32.25,0,,RPUOMLLKNHPFFAA08CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,31.03,住,,,1080622,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,152.23,3,2,2,有,無,25200000,165539,坡道平面,32.25,0,,RPVOMLLKNHPFFAA18CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,23.16,住,,,1080622,土地2建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.7,2,2,1,有,無,20000000,167084,坡道平面,32.25,0,,RPWOMLLKNHPFFAA28CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,35.07,住,,,1080704,土地2建物1車位2,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,187.07,3,2,2,有,無,31000000,165713,坡道平面,64.5,0,,RPXOMLLKNHPFFAA38CB
文山區,房地(土地+建物)+車位,政大段四小段811~840地號,23.38,住,,,1080708,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.7,2,2,1,有,無,19660000,164244,坡道平面,32.25,0,,RPOPMLLKNHPFFAA57CB
