鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物)+車位,基隆市信義區信一路61~90號,20.15,商,,,1090429,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081230,192.28,3,2,2,有,有,22000000,114416,坡道平面,32.33,0,,RPPOMLPLNHPFFBC28CA
安樂區,車位,基隆市安樂區樂利三街31~60號,5.21,住,,,1090425,土地0建物0車位1,地下一層，地下二層,二十層,其他,見其他登記事項,鋼筋混凝土造,0860117,30.279999999999998,0,0,0,有,有,1000000,,坡道平面,0.0,1000000,,RPSNMLLLNHPFFCC18CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路249巷181~210號,1.96,住,,,1090508,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,14.95,0,0,0,無,有,600000,0,升降機械,14.95,600000,車位買賣車位1個，土地1筆，建物1筆,RPTNMLMLNHPFFCC38CA
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街379巷121~150號,38.0,住,,,1090430,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820729,99.25,3,2,2,有,無,2650000,26700,,0.0,0,,RPVNMLMLNHPFFCC58CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福五街85巷31~60號,34.4,商,,,1090424,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,171.74,4,2,2,有,無,9500000,55316,坡道平面,0.0,0,,RPSOMLTKNHPFFCC98CA
安樂區,房地(土地+建物),基隆市安樂區安一路301~330號,16.24,住,,,1090409,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840720,117.00999999999999,2,1,2,有,有,4500000,38458,,0.0,0,親友、員工或其他特殊關係間之交易。;車位需抽籤,RPRNMLNLNHPFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街331~360號,24.54,住,,,1090327,土地5建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800920,125.15,3,2,2,有,有,5050000,40352,,0.0,0,,RPPNMLPLNHPFFCC28CA
安樂區,房地(土地+建物)+車位,基隆市安樂區武嶺街241~270號,22.36,住,,,1090519,土地5建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841220,139.81,3,2,2,有,有,5650000,40412,坡道平面,50.12,0,,RPSNMLQLNHPFFCC68CA
安樂區,房地(土地+建物),基隆市安樂區武隆街103巷55弄1~30號,31.58,住,,,1090422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830505,120.66999999999999,3,2,2,有,有,2700000,22375,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLRLNHPFFCC88CA
中山區,房地(土地+建物),基隆市中山區復興路259巷31~60號,31.43,住,,,1090328,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831003,108.49000000000001,3,2,2,有,無,3420000,31524,,0.0,0,,RPPNMLMLNHPFFCC18EA
