編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSTMLSKNHPFFBF17CC,44,66.75,住家用,加強磚造,64年12月10日,二層,
RPTTMLSKNHPFFBF27CC,5,54.44,見其他登記事項,鋼筋混凝土造,104年3月5日,十五層,
RPTTMLSKNHPFFBF27CC,5,14.63,見其他登記事項,鋼筋混凝土造,104年3月5日,十五層,
RPTTMLSKNHPFFBF27CC,5,11.58,見其他登記事項,鋼筋混凝土造,104年3月5日,十五層,
RPPOMLSKNHPFFEF66CC,31,88.72,住家用,鋼筋混凝土造,78年1月26日,五層,
RPPOMLSKNHPFFEF66CC,31,9.37,住家用,鋼筋混凝土造,78年1月26日,五層,
RPPOMLSKNHPFFEF66CC,31,8.21,共有部份,鋼筋混凝土造,78年1月26日,五層,
RPVNMLSKNHPFFHF47CC,37,90.25,住家用,鋼筋混凝土造,72年1月27日,十二層,
RPVNMLSKNHPFFHF47CC,37,7.74,共有部份,鋼筋混凝土造,72年1月27日,十二層,
RPPNMLSKNHPFFHF86CC,11,360.16,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,74.26,共有部份,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,36.32,共有部份,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,58.43,共有部份,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,171.34,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,35.33,共有部份,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,17.29,共有部份,見其他登記事項,98年10月15日,十八層,
RPPNMLSKNHPFFHF86CC,11,27.82,共有部份,見其他登記事項,98年10月15日,十八層,
RPQNMLSKNHPFFHF96CC,20,152.61,見其他登記事項,見其他登記事項,89年9月30日,十七層,
RPQNMLSKNHPFFHF96CC,20,66.38,共有部份,見其他登記事項,89年9月30日,十七層,
RPVPMLSKNHPFFDF27CC,25,263.01,工業用,鋼造,83年12月22日,二十六層,
RPUVMLSKNHPFFAF47CC,,32.66,住家用,鋼筋混凝土造,,五層,
RPWNMLSKNHPFFAF86CC,11,72.55,住家用,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPWNMLSKNHPFFAF86CC,11,.06,住家用,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPWNMLSKNHPFFAF86CC,11,16.73,共有部份,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPWNMLSKNHPFFAF86CC,11,6.17,共有部份,鋼骨鋼筋混凝土造,98年7月24日,29,
RPWNMLSKNHPFFAF86CC,11,25.08,共有部份,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPTNMLSKNHPFFDF86CC,26,103.17,工商用,鋼造,83年3月30日,二十一層,
RPTNMLSKNHPFFDF86CC,26,26.93,共有部分,鋼造,83年3月30日,二十層,
RPTNMLSKNHPFFDF86CC,26,6.27,共有部分,鋼造,83年3月30日,二十一層,
RPTNMLSKNHPFFDF86CC,26,5.84,見使用執照,鋼造,83年3月30日,二十層,
RPTNMLSKNHPFFDF86CC,26,31.51,見使用執照,鋼造,83年3月30日,二十層,
RPQNMLSKNHPFFCF09CC,32,339.41,工業用,鋼筋混凝土造,76年12月18日,五層,
RPQNMLSKNHPFFCF09CC,32,52.46,共有部分,鋼筋混凝土造,76年12月18日,五層,
RPQPMLSKNHPFFHF17CC,25,61.51,住家用,鋼筋混凝土造,84年6月12日,二十二層,
RPQPMLSKNHPFFHF17CC,25,13.98,共有部份,鋼筋混凝土造,84年6月12日,二十二層,
RPQPMLSKNHPFFHF17CC,25,7.81,共有部份,鋼筋混凝土造,84年6月12日,二十二層,
RPQOMLSKNHPFFHF07CC,43,80.54,住家用,鋼筋混凝土造,66年9月2日,四層,
RPTQMLSKNHPFFDF17CC,2,42.93,見其他登記事項,見其他登記事項,107年9月26日,二十三層,
RPTQMLSKNHPFFDF17CC,2,43.09,見其他登記事項,見其他登記事項,107年9月26日,二十三層,
RPTQMLSKNHPFFDF17CC,2,11.29,見其他登記事項,見其他登記事項,107年9月26日,二十三層,
RPOPMLSKNHPFFIF07CC,13,112.06,住家用,鋼筋混凝土造,95年11月17日,二十層,
RPOPMLSKNHPFFIF07CC,13,36.69,停車空間,鋼筋混凝土造,95年11月17日,二十一層,
RPPPMLSKNHPFFIF17CC,21,115.80,住家用,鋼筋混凝土造,88年2月5日,十七層,
RPSOMLSKNHPFFHF47EC,42,65.32,商業用,鋼筋混凝土造,67年1月17日,四層,
RPSOMLSKNHPFFIF37CC,52,58.65,住家用,加強磚造,57年7月20日,二層,
RPWNMLSKNHPFFGF47CC,37,31.65,住家用,鋼筋混凝土造,72年1月31日,五層,
RPROMLTKNHPFFIF37CC,2,153.39,見其他登記事項,鋼筋混凝土造,107年10月18日,十層,
